City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,42.85,99,11,1.19,NZ,2023-01-12 15:25:25
1,Punta Arenas,-53.15,-70.9167,59.11,58,75,28.77,CL,2023-01-12 15:23:11
2,Castro,-24.7911,-50.0119,74.37,70,100,4.92,BR,2023-01-12 15:25:25
3,Mayo,38.8876,-76.5119,49.06,89,0,5.75,US,2023-01-12 15:25:26
4,Nabire,-3.3667,135.4833,78.21,88,100,2.37,ID,2023-01-12 15:25:09
5,Marzuq,14.4,46.4667,69.6,49,55,3.53,YE,2023-01-12 15:25:27
6,Sibolga,1.7427,98.7792,75.81,90,83,3.02,ID,2023-01-12 15:25:27
7,Tautira,-17.7333,-149.15,76.46,82,100,24.83,PF,2023-01-12 15:25:29
8,Vaini,-21.2,-175.2,78.96,94,75,9.22,TO,2023-01-12 15:25:31
9,Isangel,-19.55,169.2667,76.41,81,48,5.91,VU,2023-01-12 15:25:32
10,Salo,45.6086,10.531,53.51,69,39,2.82,IT,2023-01-12 15:25:33
11,Yurino,56.2942,46.3039,11.66,85,95,13.42,RU,2023-01-12 15:25:33
12,Hobart,-42.8794,147.3294,61.27,87,40,4.61,AU,2023-01-12 15:25:34
13,Alta Floresta,-9.8756,-56.0861,84.54,66,85,1.61,BR,2023-01-12 15:25:34
14,Ushuaia,-54.8,-68.3,55.06,58,40,14.97,AR,2023-01-12 15:20:41
15,Mercedes,-34.6515,-59.4307,86.58,20,22,7.94,AR,2023-01-12 15:25:35
16,Xuddur,4.1213,43.8894,86.38,21,14,13.33,SO,2023-01-12 15:25:35
17,Lulea,65.5842,22.1547,33.87,100,75,14.97,SE,2023-01-12 15:25:35
18,Tuktoyaktuk,69.4541,-133.0374,-23.8,76,0,9.22,CA,2023-01-12 15:25:36
19,Barra Patuca,15.8,-84.2833,78.33,81,25,6.96,HN,2023-01-12 15:25:36
20,Silver City,32.7701,-108.2803,38.62,34,0,4.0,US,2023-01-12 15:25:36
21,Rikitea,-23.1203,-134.9692,78.21,80,12,19.22,PF,2023-01-12 15:25:37
22,Xianshuigu,38.985,117.3828,35.6,93,100,8.95,CN,2023-01-12 15:25:37
23,Vostok,46.4856,135.8833,13.26,90,11,5.55,RU,2023-01-12 15:25:37
24,Kapaa,22.0752,-159.319,66.52,72,75,0.0,US,2023-01-12 15:25:38
25,Faya,18.3851,42.4509,57.31,71,14,7.7,SA,2023-01-12 15:25:38
26,New Norfolk,-42.7826,147.0587,60.93,98,41,1.05,AU,2023-01-12 15:25:38
27,Kamiiso,41.8167,140.65,34.38,85,0,4.63,JP,2023-01-12 15:25:39
28,Port Elizabeth,-33.918,25.5701,89.1,91,20,16.11,ZA,2023-01-12 15:25:39
29,Ancud,-41.8697,-73.8203,57.11,63,66,6.08,CL,2023-01-12 15:25:39
30,Nikolskoye,59.7035,30.7861,26.49,92,100,11.54,RU,2023-01-12 15:25:40
31,Najran,17.4924,44.1277,68.65,40,93,12.68,SA,2023-01-12 15:25:40
32,Hithadhoo,-0.6,73.0833,78.82,78,39,8.12,MV,2023-01-12 15:21:20
33,Ponta Do Sol,32.6667,-17.1,69.01,69,0,5.06,PT,2023-01-12 15:25:40
34,Lyuban,52.7985,28.0048,29.08,92,80,10.16,BY,2023-01-12 15:25:41
35,Carnarvon,-24.8667,113.6333,73.76,75,1,20.49,AU,2023-01-12 15:25:41
36,Nome,64.5011,-165.4064,10.47,79,100,11.5,US,2023-01-12 15:25:41
37,Bambous Virieux,-20.3428,57.7575,77.25,78,40,6.91,MU,2023-01-12 15:25:42
38,Cape Town,-33.9258,18.4232,77.11,60,40,16.11,ZA,2023-01-12 15:25:42
39,Broome,42.2506,-75.833,39.69,88,100,12.66,US,2023-01-12 15:25:42
40,Robertsport,6.7533,-11.3686,82.6,69,38,12.93,LR,2023-01-12 15:25:43
41,Coihaique,-45.5752,-72.0662,60.75,55,40,8.05,CL,2023-01-12 15:25:43
42,Asfi,32.2994,-9.2372,65.46,66,0,19.44,MA,2023-01-12 15:25:43
43,Mustasaari,63.1142,21.6822,37.35,87,100,16.11,FI,2023-01-12 15:25:44
44,Bethel,41.3712,-73.414,39.02,85,100,4.61,US,2023-01-12 15:26:44
45,Katsuura,35.1333,140.3,48.43,55,1,5.64,JP,2023-01-12 15:26:44
46,Lompoc,34.6391,-120.4579,56.79,93,0,9.22,US,2023-01-12 15:26:45
